,DIAM_CIRCLE_IMAGEunique_values,counts
0,1.01,6298
1,1.02,6077
2,1.03,6035
3,1.04,5941
4,1.05,5771
5,1.06,5556
6,1.07,5454
7,1.08,5418
8,1.09,5197
9,1.1,5088
10,1.11,4884
11,1.12,4846
12,1.13,4687
13,1.15,4559
14,1.14,4457
15,1.16,4396
16,1.18,4265
17,1.17,4250
18,1.19,3996
19,1.2,3981
20,1.21,3899
21,1.22,3754
22,1.24,3697
23,1.23,3650
24,1.26,3524
25,1.25,3486
26,1.27,3428
27,1.28,3240
28,1.3,3145
29,1.0,3129
30,1.29,3069
31,1.32,3029
32,1.31,2984
33,1.34,2915
34,1.33,2888
35,1.36,2737
36,1.35,2707
37,1.37,2645
38,1.38,2555
39,1.39,2467
40,1.4,2428
41,1.42,2388
42,1.41,2363
43,1.43,2360
44,1.44,2210
45,1.45,2185
46,1.47,2121
47,1.48,2101
48,1.46,2092
49,1.49,1998
50,1.5,1950
51,1.51,1923
52,1.53,1850
53,1.52,1844
54,1.55,1808
55,1.58,1780
56,1.56,1775
57,1.54,1773
58,1.57,1693
59,1.59,1671
60,1.6,1623
61,1.62,1614
62,1.61,1591
63,1.63,1524
64,1.64,1517
65,1.65,1452
66,1.67,1451
67,1.66,1444
68,1.7,1411
69,1.71,1363
70,1.68,1361
71,1.69,1357
72,1.74,1308
73,1.75,1305
74,1.73,1287
75,1.77,1274
76,1.72,1237
77,1.76,1231
78,1.78,1217
79,1.82,1169
80,1.81,1160
81,1.79,1159
82,1.83,1158
83,1.84,1132
84,1.8,1118
85,1.88,1089
86,1.9,1069
87,1.85,1050
88,1.87,1049
89,1.86,1033
90,1.89,1023
91,1.94,1008
92,1.93,987
93,1.92,972
94,1.98,957
95,1.95,942
96,1.91,940
97,1.96,926
98,1.97,918
99,2.0,915
100,2.02,877
101,1.99,876
102,2.04,822
103,2.07,812
104,2.01,812
105,2.06,810
106,2.03,809
107,2.1,802
108,2.09,800
109,2.05,793
110,2.12,762
111,2.13,759
112,2.08,752
113,2.17,728
114,2.14,726
115,2.16,724
116,2.11,721
117,2.18,714
118,2.22,703
119,2.15,694
120,2.19,693
121,2.2,682
122,2.28,672
123,2.21,668
124,2.24,664
125,2.23,661
126,2.25,653
127,2.3,643
128,2.27,635
129,2.26,626
130,2.32,596
131,2.33,585
132,2.37,581
133,2.31,580
134,2.34,577
135,2.35,574
136,2.29,566
137,2.39,552
138,2.36,548
139,2.4,542
140,2.38,536
141,2.44,532
142,2.41,525
143,2.46,516
144,2.45,506
145,2.43,490
146,2.49,488
147,2.5,480
148,2.51,477
149,2.42,475
150,2.53,473
151,2.48,462
152,2.52,452
153,2.56,450
154,2.47,444
155,2.58,443
156,2.54,441
157,2.69,439
158,2.64,437
159,2.63,431
160,2.55,427
161,2.62,427
162,2.57,425
163,2.59,424
164,2.67,421
165,2.65,420
166,2.6,416
167,2.61,415
168,2.66,410
169,2.68,390
170,2.71,383
171,2.7,382
172,2.76,381
173,2.77,378
174,2.8,376
175,2.79,374
176,2.74,371
177,2.75,366
178,2.73,365
179,2.78,364
180,2.72,363
181,2.83,361
182,2.81,357
183,2.86,353
184,2.82,342
185,2.84,333
186,2.88,332
187,2.94,327
188,2.93,326
189,2.9,324
190,2.92,323
191,2.91,322
192,2.85,322
193,2.98,320
194,2.95,318
195,3.02,317
196,2.97,317
197,3.03,309
198,3.06,308
199,3.05,305
200,3.01,305
201,2.99,304
202,2.87,304
203,2.89,297
204,3.09,292
205,3.1,287
206,3.16,285
207,3.04,284
208,3.21,281
209,2.96,279
210,3.0,278
211,3.08,275
212,3.14,275
213,3.12,272
214,3.15,272
215,3.11,272
216,3.13,265
217,3.2,261
218,3.3,260
219,3.24,257
220,3.25,252
221,3.28,247
222,3.17,245
223,3.29,245
224,3.27,244
225,3.07,242
226,3.18,242
227,3.26,240
228,3.19,238
229,3.22,235
230,3.36,233
231,3.38,230
232,3.35,230
233,3.31,230
234,3.43,224
235,3.33,224
236,3.48,223
237,3.45,220
238,3.34,219
239,3.32,219
240,3.39,217
241,3.54,216
242,3.42,214
243,3.4,213
244,3.23,212
245,3.41,212
246,3.37,210
247,3.5,208
248,3.55,204
249,3.59,203
250,3.53,203
251,3.71,197
252,3.6,196
253,3.61,195
254,3.46,195
255,3.47,194
256,3.58,192
257,3.51,192
258,3.52,192
259,3.86,190
260,3.63,186
261,3.64,185
262,3.76,184
263,3.87,182
264,3.66,182
265,3.69,182
266,3.56,182
267,3.84,181
268,3.44,179
269,3.62,176
270,3.65,175
271,3.57,175
272,3.8,174
273,3.72,170
274,3.49,170
275,3.74,170
276,3.73,169
277,3.75,169
278,3.83,167
279,3.77,166
280,3.79,165
281,3.99,164
282,3.89,163
283,3.67,163
284,3.81,163
285,3.88,162
286,3.78,160
287,3.7,158
288,3.94,155
289,3.68,153
290,3.91,152
291,3.98,151
292,3.96,151
293,3.95,151
294,4.01,150
295,4.03,148
296,3.82,147
297,4.14,144
298,3.92,143
299,4.25,143
300,3.85,142
301,3.93,142
302,4.17,142
303,4.18,142
304,4.0,142
305,4.33,141
306,4.24,141
307,4.15,140
308,4.07,140
309,4.52,139
310,4.3,137
311,4.1,136
312,4.44,136
313,4.28,135
314,3.9,134
315,4.21,133
316,4.11,132
317,4.68,132
318,4.02,131
319,4.12,131
320,4.13,129
321,4.26,128
322,4.23,127
323,4.08,127
324,4.27,127
325,4.35,126
326,4.06,125
327,4.46,125
328,4.49,125
329,4.22,124
330,4.09,124
331,4.58,123
332,3.97,122
333,4.05,122
334,4.83,121
335,4.66,121
336,4.32,120
337,4.19,120
338,4.75,120
339,4.2,119
340,4.41,117
341,4.4,117
342,4.16,116
343,4.77,115
344,4.34,115
345,4.42,115
346,4.51,115
347,4.67,114
348,4.38,114
349,4.98,113
350,4.61,113
351,4.6,112
352,4.39,112
353,4.56,112
354,4.53,112
355,4.29,111
356,4.82,110
357,4.5,110
358,4.57,109
359,4.47,109
360,4.48,108
361,4.55,108
362,4.94,107
363,4.79,106
364,4.43,106
365,5.0,105
366,4.7,104
367,4.04,104
368,4.31,104
369,4.62,101
370,4.84,101
371,4.65,101
372,4.45,99
373,4.64,99
374,4.59,99
375,4.99,98
376,5.07,98
377,4.36,98
378,4.92,96
379,5.12,95
380,4.54,95
381,5.13,94
382,4.8,94
383,4.87,94
384,4.76,93
385,4.89,93
386,5.35,93
387,4.86,93
388,4.74,92
389,4.71,92
390,5.06,92
391,5.14,92
392,5.18,92
393,4.97,91
394,4.72,91
395,5.05,91
396,4.93,91
397,4.91,90
398,5.1,90
399,5.08,89
400,5.42,89
401,5.38,89
402,5.34,89
403,5.37,89
404,4.85,88
405,5.25,88
406,4.95,88
407,5.87,87
408,4.81,87
409,5.29,87
410,4.37,87
411,5.8,86
412,4.78,86
413,5.44,84
414,4.96,84
415,5.2,84
416,4.88,84
417,5.03,83
418,5.04,83
419,5.74,83
420,5.02,83
421,5.57,82
422,4.73,82
423,4.69,81
424,5.32,81
425,5.92,81
426,5.48,81
427,5.21,80
428,5.15,80
429,5.22,80
430,5.89,79
431,5.52,79
432,5.17,78
433,4.63,78
434,5.56,78
435,5.59,78
436,5.51,78
437,5.11,77
438,6.16,77
439,5.26,77
440,5.16,77
441,5.61,76
442,5.55,76
443,5.5,76
444,5.31,76
445,6.68,75
446,5.46,75
447,5.09,75
448,5.58,74
449,5.24,74
450,5.97,73
451,4.9,73
452,5.01,73
453,6.06,73
454,6.02,72
455,6.07,72
456,5.4,72
457,5.33,72
458,5.78,72
459,5.39,72
460,5.23,72
461,6.36,71
462,6.14,71
463,5.67,71
464,5.65,71
465,5.83,71
466,5.19,70
467,5.86,70
468,5.47,69
469,5.43,69
470,5.27,69
471,5.28,69
472,6.18,69
473,6.56,68
474,5.71,68
475,5.88,68
476,5.41,68
477,6.05,67
478,6.76,67
479,5.36,67
480,5.95,66
481,6.28,66
482,5.76,66
483,5.98,66
484,5.63,65
485,5.85,65
486,6.91,65
487,6.31,64
488,5.45,64
489,5.53,64
490,6.32,64
491,6.26,64
492,5.49,64
493,5.68,64
494,6.43,63
495,5.54,63
496,6.0,63
497,6.75,63
498,5.96,63
499,5.99,63
500,5.66,63
501,6.13,62
502,6.08,62
503,6.49,62
504,7.45,62
505,7.26,62
506,6.42,62
507,5.6,61
508,6.35,61
509,5.72,61
510,5.82,61
511,5.79,60
512,5.64,60
513,6.4,60
514,6.41,60
515,6.17,59
516,6.03,59
517,5.77,59
518,6.21,59
519,7.11,59
520,6.58,59
521,6.09,59
522,6.33,59
523,6.34,59
524,5.91,59
525,5.9,59
526,6.44,59
527,5.93,59
528,6.54,58
529,7.17,58
530,5.3,58
531,5.84,58
532,6.53,58
533,6.55,58
534,6.67,58
535,7.01,57
536,7.48,57
537,6.04,57
538,5.69,57
539,6.59,57
540,6.12,57
541,6.63,57
542,6.1,57
543,7.44,56
544,5.94,56
545,5.62,56
546,6.86,56
547,6.01,56
548,6.88,55
549,6.78,55
550,6.99,55
551,6.29,54
552,6.7,54
553,6.48,54
554,5.73,54
555,6.47,54
556,6.77,54
557,6.61,53
558,6.84,53
559,6.27,53
560,6.3,53
561,7.6,53
562,6.64,53
563,6.23,53
564,5.75,53
565,6.73,53
566,6.11,52
567,8.06,52
568,6.71,52
569,6.22,52
570,5.7,52
571,7.57,52
572,7.0,52
573,6.96,52
574,7.78,51
575,6.9,51
576,6.62,51
577,7.03,51
578,7.18,51
579,7.3,51
580,7.05,50
581,6.45,50
582,6.57,50
583,7.33,50
584,8.08,49
585,6.46,49
586,7.08,49
587,7.63,48
588,7.67,48
589,6.92,48
590,7.04,48
591,7.59,48
592,6.87,48
593,7.51,48
594,6.37,48
595,7.47,47
596,6.39,47
597,7.14,47
598,6.66,47
599,8.45,47
600,7.7,47
601,6.6,47
602,6.15,47
603,6.2,47
604,6.98,47
605,7.27,47
606,7.42,47
607,7.06,47
608,7.64,47
609,7.87,47
610,7.36,46
611,5.81,46
612,7.66,46
613,6.51,46
614,8.0,46
615,6.81,46
616,7.65,46
617,6.94,46
618,7.79,46
619,6.85,46
620,7.84,46
621,7.31,46
622,7.77,46
623,9.02,46
624,7.02,46
625,6.83,45
626,6.5,45
627,6.38,45
628,6.8,45
629,8.64,45
630,6.79,45
631,8.61,44
632,6.19,44
633,7.68,44
634,7.22,44
635,8.33,44
636,9.03,44
637,8.88,43
638,7.52,43
639,7.12,43
640,8.04,43
641,6.95,43
642,6.97,43
643,6.24,43
644,6.25,43
645,6.93,42
646,7.85,42
647,8.02,42
648,6.69,42
649,9.16,42
650,8.2,42
651,9.07,42
652,6.52,42
653,7.97,42
654,7.8,42
655,7.43,42
656,7.32,42
657,7.23,42
658,7.13,41
659,7.25,41
660,8.05,41
661,7.1,41
662,8.81,41
663,7.53,41
664,7.69,41
665,7.54,41
666,7.61,41
667,8.35,41
668,8.6,41
669,6.72,41
670,6.74,41
671,8.91,41
672,7.86,41
673,6.65,40
674,7.39,40
675,7.5,40
676,6.89,40
677,7.41,40
678,7.71,40
679,7.81,40
680,8.03,40
681,7.16,40
682,7.21,40
683,7.95,40
684,8.44,39
685,8.48,39
686,8.25,39
687,7.38,39
688,8.51,39
689,8.15,39
690,8.38,39
691,6.82,39
692,12.97,39
693,9.27,39
694,8.96,39
695,7.19,39
696,7.24,39
697,7.35,39
698,8.3,38
699,8.01,38
700,9.23,38
701,8.1,38
702,8.18,38
703,8.21,38
704,8.86,38
705,7.73,38
706,9.69,38
707,8.29,38
708,8.28,38
709,8.32,38
710,7.89,38
711,7.07,38
712,8.39,37
713,7.37,37
714,7.2,37
715,9.08,37
716,7.4,37
717,7.94,37
718,9.66,37
719,7.76,37
720,7.49,37
721,7.28,37
722,7.09,37
723,8.63,36
724,9.01,36
725,9.79,36
726,8.11,36
727,7.72,36
728,9.41,36
729,7.29,36
730,7.93,36
731,8.53,36
732,8.4,36
733,7.96,36
734,7.34,36
735,8.66,35
736,8.31,35
737,8.24,35
738,7.82,35
739,9.05,35
740,7.62,35
741,8.89,35
742,7.58,35
743,8.46,35
744,8.62,35
745,7.75,35
746,8.43,34
747,8.59,34
748,9.68,34
749,8.74,34
750,8.16,34
751,8.57,34
752,7.98,34
753,10.41,34
754,7.56,34
755,8.55,34
756,8.84,34
757,7.15,34
758,8.07,34
759,8.09,34
760,7.55,34
761,9.1,33
762,8.68,33
763,8.41,33
764,7.99,33
765,10.16,33
766,7.9,33
767,8.67,33
768,8.54,32
769,7.92,32
770,8.14,32
771,9.62,32
772,10.78,32
773,9.24,32
774,8.36,32
775,9.26,32
776,8.17,32
777,9.64,32
778,9.74,32
779,9.04,32
780,8.5,32
781,8.37,32
782,9.12,31
783,8.23,31
784,9.72,31
785,9.82,31
786,7.83,31
787,10.67,31
788,9.15,31
789,8.7,31
790,9.85,31
791,10.88,31
792,8.27,31
793,8.34,31
794,7.74,31
795,10.38,31
796,9.19,31
797,9.77,31
798,9.44,31
799,8.78,30
800,9.65,30
801,9.22,30
802,8.77,30
803,9.21,30
804,9.58,30
805,8.49,30
806,8.99,30
807,10.86,30
808,9.75,30
809,8.69,30
810,10.83,30
811,9.67,30
812,10.07,30
813,9.96,30
814,9.18,29
815,9.3,29
816,8.73,29
817,11.33,29
818,9.63,29
819,9.8,29
820,10.01,29
821,10.17,29
822,8.92,29
823,8.97,29
824,7.88,29
825,8.52,29
826,8.79,29
827,10.09,29
828,9.73,29
829,8.42,29
830,10.87,29
831,9.06,28
832,8.71,28
833,8.13,28
834,8.26,28
835,9.37,28
836,9.4,28
837,11.19,28
838,10.02,28
839,9.17,28
840,10.42,28
841,10.59,28
842,9.13,28
843,11.81,28
844,8.98,28
845,10.84,28
846,8.95,28
847,9.29,28
848,9.9,28
849,10.61,28
850,10.25,28
851,8.9,28
852,8.94,28
853,10.43,28
854,8.72,28
855,7.91,28
856,9.53,27
857,8.47,27
858,8.83,27
859,9.5,27
860,9.81,27
861,8.93,27
862,9.35,27
863,12.13,27
864,9.11,27
865,9.09,27
866,9.46,27
867,8.8,27
868,10.97,27
869,9.36,27
870,8.76,27
871,11.21,27
872,10.08,27
873,11.14,27
874,8.82,27
875,8.22,27
876,9.83,27
877,11.78,26
878,8.65,26
879,10.58,26
880,10.27,26
881,10.11,26
882,10.45,26
883,8.75,26
884,8.87,26
885,10.77,26
886,9.55,26
887,10.34,26
888,9.51,26
889,9.6,26
890,10.46,26
891,10.15,26
892,8.58,26
893,9.14,25
894,10.14,25
895,11.24,25
896,9.99,25
897,11.63,25
898,10.89,25
899,10.72,25
900,10.1,25
901,12.0,25
902,10.23,25
903,10.52,25
904,11.02,25
905,11.32,25
906,10.51,25
907,9.39,25
908,10.69,25
909,10.19,25
910,8.85,25
911,12.28,25
912,9.84,25
913,9.28,25
914,9.34,25
915,9.91,25
916,9.42,25
917,9.0,25
918,10.28,25
919,10.04,25
920,10.26,24
921,9.97,24
922,10.49,24
923,10.65,24
924,9.49,24
925,12.08,24
926,10.99,24
927,8.56,24
928,12.04,24
929,9.47,24
930,11.93,24
931,10.12,24
932,11.46,24
933,11.71,23
934,14.78,23
935,10.21,23
936,11.0,23
937,13.01,23
938,14.4,23
939,9.45,23
940,8.12,23
941,10.39,23
942,10.47,23
943,9.25,23
944,11.26,23
945,10.57,23
946,11.34,23
947,11.82,23
948,9.87,23
949,11.04,23
950,10.37,23
951,10.98,22
952,13.15,22
953,12.57,22
954,12.37,22
955,10.79,22
956,12.9,22
957,8.19,22
958,9.31,22
959,10.32,22
960,11.23,22
961,12.68,22
962,13.59,22
963,11.74,22
964,9.88,22
965,10.29,22
966,10.0,22
967,12.96,22
968,12.26,22
969,10.33,22
970,9.2,22
971,11.48,22
972,10.13,22
973,10.6,22
974,11.87,22
975,11.15,22
976,11.18,22
977,11.9,22
978,9.52,21
979,10.54,21
980,11.68,21
981,13.95,21
982,13.08,21
983,12.34,21
984,11.41,21
985,11.47,21
986,15.29,21
987,10.75,21
988,12.15,21
989,11.09,21
990,10.44,21
991,13.12,21
992,11.2,21
993,11.49,21
994,9.61,21
995,12.39,21
996,10.8,21
997,10.35,21
998,10.3,21
999,10.7,21
1000,9.57,21
1001,9.7,21
1002,10.93,21
1003,12.09,21
1004,11.08,21
1005,11.79,21
1006,12.35,21
1007,10.62,21
1008,9.32,21
1009,11.94,20
1010,13.03,20
1011,9.86,20
1012,13.99,20
1013,10.55,20
1014,12.22,20
1015,12.78,20
1016,11.56,20
1017,11.3,20
1018,10.03,20
1019,7.46,20
1020,11.45,20
1021,16.31,20
1022,11.37,20
1023,13.83,20
1024,10.76,20
1025,11.05,20
1026,14.84,20
1027,12.89,20
1028,12.92,20
1029,9.95,20
1030,11.1,20
1031,11.11,20
1032,14.53,20
1033,15.63,20
1034,12.29,20
1035,9.76,20
1036,10.9,20
1037,13.73,20
1038,13.5,20
1039,11.13,20
1040,11.6,20
1041,9.78,20
1042,12.03,20
1043,10.18,20
1044,18.83,20
1045,10.36,19
1046,12.55,19
1047,13.21,19
1048,12.77,19
1049,12.21,19
1050,10.22,19
1051,11.84,19
1052,14.75,19
1053,12.94,19
1054,13.51,19
1055,10.06,19
1056,12.4,19
1057,11.96,19
1058,10.2,19
1059,9.33,19
1060,12.75,19
1061,11.22,19
1062,12.02,19
1063,12.46,19
1064,13.05,19
1065,9.56,19
1066,13.07,19
1067,11.52,19
1068,11.01,19
1069,10.56,19
1070,14.2,19
1071,11.69,19
1072,15.41,19
1073,13.23,19
1074,14.06,19
1075,13.22,19
1076,10.73,19
1077,13.38,19
1078,11.92,19
1079,11.7,19
1080,9.43,19
1081,9.71,19
1082,14.89,19
1083,10.71,19
1084,10.63,19
1085,11.27,19
1086,12.36,19
1087,11.77,19
1088,11.64,19
1089,10.68,19
1090,12.49,19
1091,12.52,19
1092,11.73,19
1093,12.41,19
1094,11.07,19
1095,9.92,19
1096,12.38,18
1097,11.58,18
1098,10.5,18
1099,13.91,18
1100,13.25,18
1101,16.92,18
1102,9.94,18
1103,11.51,18
1104,11.06,18
1105,11.8,18
1106,10.05,18
1107,10.64,18
1108,12.11,18
1109,16.14,18
1110,9.59,18
1111,12.25,18
1112,14.22,18
1113,10.92,18
1114,14.28,18
1115,13.66,18
1116,15.26,18
1117,11.53,18
1118,14.41,18
1119,14.68,18
1120,9.54,18
1121,11.28,18
1122,10.94,18
1123,12.7,18
1124,13.13,18
1125,11.65,18
1126,9.48,18
1127,11.75,18
1128,11.67,18
1129,13.33,18
1130,12.27,18
1131,9.93,18
1132,12.2,18
1133,13.11,18
1134,15.22,18
1135,10.81,18
1136,14.31,18
1137,12.84,18
1138,12.8,18
1139,11.97,18
1140,14.59,18
1141,13.76,18
1142,13.4,18
1143,11.16,18
1144,14.04,18
1145,17.5,17
1146,14.0,17
1147,12.69,17
1148,11.31,17
1149,12.45,17
1150,16.07,17
1151,12.81,17
1152,13.79,17
1153,14.3,17
1154,13.69,17
1155,10.85,17
1156,10.82,17
1157,15.33,17
1158,14.85,17
1159,12.51,17
1160,15.06,17
1161,14.8,17
1162,12.5,17
1163,11.83,17
1164,14.08,17
1165,12.79,17
1166,19.53,17
1167,12.87,17
1168,11.86,17
1169,14.63,17
1170,9.38,17
1171,11.66,17
1172,14.88,17
1173,11.61,17
1174,11.12,17
1175,11.4,17
1176,13.18,17
1177,14.09,17
1178,13.24,17
1179,11.44,17
1180,13.36,17
1181,16.26,17
1182,15.84,17
1183,13.27,17
1184,14.91,17
1185,13.16,17
1186,13.02,17
1187,11.57,17
1188,14.25,17
1189,12.05,17
1190,12.66,17
1191,12.95,17
1192,14.54,17
1193,13.57,16
1194,15.25,16
1195,11.88,16
1196,13.09,16
1197,16.36,16
1198,12.6,16
1199,10.24,16
1200,13.78,16
1201,10.74,16
1202,11.99,16
1203,9.98,16
1204,11.42,16
1205,17.61,16
1206,12.06,16
1207,12.98,16
1208,17.85,16
1209,13.58,16
1210,12.93,16
1211,12.61,16
1212,11.29,16
1213,14.99,16
1214,12.62,16
1215,12.01,16
1216,13.49,16
1217,15.13,16
1218,12.12,16
1219,16.13,16
1220,16.2,16
1221,11.98,16
1222,12.24,16
1223,13.94,16
1224,11.39,16
1225,14.19,16
1226,14.55,16
1227,12.33,16
1228,13.89,16
1229,16.45,16
1230,13.62,16
1231,10.48,16
1232,15.85,15
1233,15.97,15
1234,13.14,15
1235,10.95,15
1236,12.23,15
1237,12.85,15
1238,11.54,15
1239,17.74,15
1240,12.72,15
1241,19.85,15
1242,12.31,15
1243,15.44,15
1244,14.07,15
1245,13.53,15
1246,12.17,15
1247,12.82,15
1248,15.08,15
1249,11.55,15
1250,16.9,15
1251,10.66,15
1252,12.74,15
1253,16.28,15
1254,10.31,15
1255,11.25,15
1256,11.36,15
1257,14.43,15
1258,17.96,15
1259,13.71,15
1260,18.15,15
1261,13.85,15
1262,14.72,15
1263,11.72,15
1264,15.92,15
1265,16.03,15
1266,13.63,15
1267,11.5,15
1268,22.26,15
1269,16.56,15
1270,9.89,15
1271,20.14,15
1272,12.91,15
